loc_rowid,sy_snum,sy_pnum,sy_mnum,cb_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_metratio,st_lum,st_logg,st_age,st_rotp,glat,glon,sy_pmdec,sy_dist,sy_plx
2321,1,1,0,0,168.81117400,0.542100,1.780,3.82000,3.720000,0.000000,0.83,269,0,,4886.00,0.74,0.81,[Fe/H],-0.606,4.61,2.340,,11.56055,82.70924,2.7327400,335.0900000,2.9554000
2322,1,1,0,0,163.69234900,0.544200,2.700,7.75000,2.160000,0.000000,1.41,274,0,,5201.00,0.80,0.84,[Fe/H],-0.277,4.57,4.470,,9.77284,81.68426,-5.6414900,729.9640000,1.3415700
2323,1,1,0,0,19.59749710,0.136600,3.130,9.96000,1.780000,0.000000,36.30,671,0,,5623.00,0.93,0.95,[Fe/H],-0.130,4.48,3.720,,7.64744,76.01241,-2.9494900,931.9560000,1.0449600
2324,1,1,0,0,0.69297968,0.016500,0.900,0.66600,5.020000,0.000000,5760.94,3186,0,,6078.00,1.18,1.12,[Fe/H],0.222,4.34,3.390,,17.21866,72.10913,-8.7112700,674.6950000,1.4532900
2325,1,1,0,0,124.82867900,0.467900,2.640,7.46000,2.230000,0.000000,1.93,350,0,,5706.00,0.97,0.99,[Fe/H],-0.307,4.46,4.370,,16.18961,76.88152,-17.8170000,872.2790000,1.1179000
2326,1,1,0,0,214.88654500,0.668700,2.570,7.13000,2.310000,0.000000,1.18,286,0,,5324.00,0.84,0.88,[Fe/H],-0.273,4.54,4.790,,14.42317,69.79203,-2.4643800,803.0520000,1.2167800
2327,1,2,0,0,5.93119400,0.056000,2.090,5.02000,3.020000,0.000000,23.50,614,0,M0 V,4508.00,0.62,0.64,[M/H],-1.210,4.68,2.900,26.43,17.44949,81.98736,-7.0489200,293.4990000,3.3785000
2328,1,2,0,0,52.66179300,0.242000,2.240,5.65000,2.760000,0.000000,1.28,286,0,M0 V,4508.00,0.62,0.64,[M/H],-1.210,4.68,2.900,26.43,17.44949,81.98736,-7.0489200,293.4990000,3.3785000
2329,1,1,0,0,225.58280900,0.768100,3.020,9.38000,1.870000,0.000000,2.31,348,0,,5991.00,1.11,1.07,[Fe/H],0.119,4.38,3.550,,12.87652,69.59786,0.1884010,1179.0100000,0.8196530
2330,1,1,0,0,24.49736980,0.177200,2.660,7.56000,2.210000,0.000000,60.42,722,0,,6136.00,1.22,1.14,[Fe/H],0.244,4.32,2.880,,8.03777,73.90163,-2.7725300,1463.7200000,0.6553390
2331,1,1,0,0,184.77185300,0.604500,2.470,6.66000,2.430000,0.000000,1.85,268,1,,5202.00,0.78,0.85,[Fe/H],-0.201,4.58,3.310,,10.36849,71.47973,1.8741800,769.0960000,1.2717700
2332,1,1,0,0,4.24261881,0.048100,1.150,1.60000,5.780000,0.000000,166.11,926,0,,5288.00,0.81,0.85,[Fe/H],-0.338,4.56,4.570,,10.26621,71.69945,-18.9897000,692.5940000,1.4154600
2333,1,1,0,0,198.08877400,0.631400,2.900,8.75000,1.970000,0.000000,1.01,288,0,,5297.00,0.81,0.84,[Fe/H],-0.393,4.56,4.680,,15.10187,72.46828,18.4653000,946.8470000,1.0281100
2334,1,1,0,0,8.10501635,0.080500,1.610,3.22000,4.240000,0.000000,483.26,959,0,,5866.00,1.06,1.04,[Fe/H],0.389,4.40,4.370,,15.94386,76.57712,-6.2282000,2013.2700000,0.4670860
2335,1,1,0,0,8.82713457,0.082900,1.960,4.50000,3.280000,0.000000,92.14,797,0,,5608.00,0.95,0.97,[Fe/H],-0.231,4.47,4.900,,13.22734,71.59819,0.6091950,944.5400000,1.0304400
2336,1,1,0,0,3.74032496,0.049000,1.530,2.96000,4.540000,0.000000,645.54,1287,0,,6099.00,1.17,1.11,[Fe/H],0.119,4.34,3.310,,12.48692,79.48341,-7.8661700,1380.1600000,0.6961060
2337,1,1,0,0,3.50470358,0.041900,0.680,0.24400,4.260000,0.000000,189.89,1019,0,,5101.00,0.79,0.83,[Fe/H],-0.480,4.57,4.900,,16.91904,77.50759,14.1564000,325.7370000,3.0410700
2338,1,1,0,0,0.97191543,0.018000,0.720,0.29900,4.400000,0.000000,1620.06,1609,0,,5316.00,0.82,0.86,[Fe/H],-0.276,4.55,4.270,,11.38109,74.60426,36.0693000,614.8270000,1.5980500
2339,1,2,0,0,4.97345600,0.054000,2.300,5.90000,2.660000,0.000000,135.08,867,0,,5094.00,0.81,0.84,[M/H],-0.440,4.55,5.370,,10.84034,69.96483,-15.7141000,443.4830000,2.2261100
2340,1,2,0,0,15.90680100,0.117000,2.550,7.04000,2.330000,0.000000,28.64,588,0,,5094.00,0.81,0.84,[M/H],-0.440,4.55,5.370,,10.84034,69.96483,-15.7141000,443.4830000,2.2261100
2341,1,1,0,0,3.03195744,0.039700,0.890,0.64000,4.990000,0.000000,593.92,1269,0,,5815.00,1.02,1.02,[Fe/H],-0.034,4.43,4.170,,11.56277,75.81527,5.4734300,502.4970000,1.9612800
2342,1,1,0,0,1.00520701,0.019400,1.090,1.32000,5.600000,0.000000,2364.81,1682,0,,5957.00,1.11,1.07,[Fe/H],-0.020,4.38,3.390,,9.06503,77.55482,1.3683600,839.0760000,1.1636500
2343,1,1,0,0,64.27377520,0.330800,3.550,12.30000,1.510000,0.000000,31.77,554,0,,5760.00,1.05,1.02,[Fe/H],0.491,4.41,4.790,,12.09288,79.57728,-12.0995000,2060.7200000,0.4564470
2344,1,1,0,0,3.43276598,0.044200,0.750,0.34700,4.520000,0.000000,390.57,1134,0,,5765.00,0.99,1.00,[Fe/H],-0.010,4.45,4.070,,17.54933,82.38685,-1.3612000,616.6970000,0.5890170
2345,1,1,0,0,18.05403810,0.132700,1.470,2.76000,4.770000,0.000000,41.51,635,0,,5528.00,0.90,0.93,[Fe/H],-0.135,4.50,4.570,,14.44144,78.30327,15.2347000,908.8050000,1.0718100
2346,1,1,0,0,1.53818844,0.024100,1.190,1.81000,5.900000,0.000000,510.57,1234,0,,4940.00,0.73,0.76,[Fe/H],-0.564,4.60,5.620,,7.04077,75.50980,-1.2595000,629.9300000,1.5593500
2347,1,1,0,0,0.53991524,0.012100,0.790,0.41800,4.660000,0.000000,2340.98,1871,0,,5254.00,0.81,0.84,[Fe/H],-0.437,4.56,5.010,,16.73832,70.45590,-8.6239900,466.5860000,2.1144200
2348,1,1,0,0,153.97957800,0.552000,2.730,7.90000,2.130000,0.000000,2.72,330,0,,5655.00,0.93,0.95,[Fe/H],-0.122,4.49,4.170,,14.44585,71.12808,19.8192000,1206.1100000,0.8007770
2349,1,1,0,0,20.92539200,0.149900,1.300,2.24000,5.600000,0.000000,72.57,729,0,,5956.00,1.19,1.09,[Fe/H],0.258,4.32,4.570,,15.80935,79.07172,-9.9599000,916.3130000,1.0625600
2350,1,1,0,0,5.79180156,0.065400,1.680,3.46000,4.010000,0.000000,495.65,1222,0,,6319.00,1.40,1.25,[Fe/H],0.335,4.24,2.450,,9.24991,70.17366,-0.5965130,945.4540000,1.0291300
2351,1,3,0,0,1.73234200,0.028000,1.320,2.30000,5.500000,0.000000,1572.31,1546,0,,5774.00,1.04,1.02,[M/H],0.091,4.39,4.070,,10.77283,71.27591,2.2408100,773.7130000,1.2638000
2352,1,3,0,0,13.54050000,0.110000,2.240,5.65000,2.760000,0.000000,101.75,779,0,,5774.00,1.04,1.02,[M/H],0.091,4.39,4.070,,10.77283,71.27591,2.2408100,773.7130000,1.2638000
2353,1,3,0,0,7.02573474,0.069800,1.460,2.73000,4.820000,0.000000,244.06,969,0,,5866.00,1.03,1.02,[Fe/H],0.091,4.42,4.070,,10.77283,71.27591,2.2408100,773.7130000,1.2638000
2354,1,1,0,0,26.54895500,0.178400,1.070,1.24000,5.560000,0.000000,76.46,836,0,,5550.00,0.89,0.92,[Fe/H],0.414,4.50,4.170,,8.37838,80.58993,12.1609000,918.9950000,1.0595100
2355,1,1,0,0,3.38555488,0.043200,1.520,2.92000,4.570000,0.000000,757.13,1476,0,,6297.00,1.39,1.23,[Fe/H],0.194,4.24,2.340,,7.61693,80.78026,-12.3454000,675.3030000,1.4521300
2356,1,1,0,0,5.49548621,0.061400,0.940,0.77900,5.150000,0.000000,583.52,1293,0,,5618.00,0.95,0.97,[Fe/H],0.373,4.47,4.790,,20.01227,76.08913,12.6010000,946.6020000,1.0275700
2357,1,1,0,0,2.61575540,0.036400,1.200,1.87000,5.950000,0.000000,1343.11,1379,0,,5808.00,1.00,1.01,[Fe/H],0.169,4.44,4.070,,14.18038,81.66089,0.8833740,1455.3600000,0.6585010
2358,1,1,0,0,6.94243340,0.074300,1.290,2.21000,5.660000,0.000000,289.78,1003,0,,5892.00,1.08,1.06,[Fe/H],0.156,4.40,3.800,,14.73259,81.56853,3.8790600,1384.1600000,0.6938320
2359,1,1,0,0,2.55314213,0.036600,1.310,2.27000,5.550000,0.000000,803.68,1312,0,,5667.00,0.92,0.95,[Fe/H],-0.037,4.49,4.170,,12.09016,78.45373,-7.8395900,1246.9200000,0.7737190
2360,1,1,0,0,6.98471973,0.072600,1.040,1.12000,5.470000,0.000000,156.61,1059,0,,5876.00,1.06,1.05,[Fe/H],-0.063,4.40,4.070,,12.82190,71.96201,-3.0983000,460.9100000,2.1407300
2361,1,1,0,0,6.30560247,0.065700,1.130,1.51000,5.750000,0.000000,57.75,1125,0,,4862.00,0.74,0.78,[Fe/H],-0.607,4.60,4.270,,13.37521,79.87524,-14.1766000,510.0290000,1.9321400
2362,1,1,0,0,1.45088691,0.025200,1.040,1.12000,5.470000,0.000000,1486.44,1700,0,,5545.00,0.86,0.90,[Fe/H],-0.165,4.53,4.270,,16.31601,78.73876,6.3555800,1064.0500000,0.9116850
2363,1,1,0,0,0.84990789,0.014000,0.840,0.52000,4.820000,0.000000,396.64,1139,0,,4584.00,0.70,0.75,[Fe/H],-0.940,4.63,2.240,,11.36968,76.25532,0.1585670,466.0000000,2.6982531
2364,1,2,0,0,16.70918400,0.111000,2.120,5.14000,2.960000,0.000000,13.63,500,0,,4623.00,0.62,0.66,[Fe/H],-0.757,4.66,13.900,,16.12696,69.82072,43.1161000,315.1770000,3.1440500
2365,1,2,0,0,28.55138300,0.158000,1.900,4.27000,3.420000,0.000000,6.68,418,0,,4623.00,0.62,0.66,[Fe/H],-0.757,4.66,13.900,,16.12696,69.82072,43.1161000,315.1770000,3.1440500
2366,1,1,0,0,56.64492790,0.323000,2.110,5.10000,2.980000,0.000000,83.09,733,0,,6228.00,2.15,1.47,[Fe/H],0.926,3.94,2.750,,15.37287,71.92375,-7.5145100,1002.0200000,0.9694630
2367,1,1,0,0,6.28385491,0.067400,0.800,0.43700,4.690000,0.000000,470.86,1108,0,,6022.00,1.23,1.12,[Fe/H],0.391,4.31,4.170,,13.69395,70.69427,9.2851110,493.1750000,1.9990700
2368,1,1,0,0,4.83817712,0.031600,1.490,2.83000,4.700000,0.000000,2.50,354,0,,3208.00,0.30,0.28,[Fe/H],-2.389,4.93,7.760,,12.94693,72.79808,-119.9160000,78.8906000,12.6475000
2369,1,1,0,0,9.32807355,0.085000,0.600,0.15600,3.970000,0.000000,124.31,788,0,,5645.00,0.91,0.94,[Fe/H],-0.018,4.49,4.270,,17.23201,77.49514,-24.4960000,403.9330000,2.4468500
2370,1,1,0,0,13.39970990,0.116800,1.610,3.22000,4.240000,0.000000,162.54,886,0,,6069.00,1.13,1.10,[Fe/H],0.252,4.37,3.310,,14.90333,74.28379,-9.2526500,1416.3100000,0.6772380
2371,1,1,0,0,3.58274630,0.044500,1.790,3.86000,3.700000,0.000000,182.94,1064,0,,5538.00,0.91,0.94,[Fe/H],-0.434,4.50,4.370,,10.02584,78.17318,-8.6694100,944.4650000,1.0315200
2372,1,1,0,0,15.60492120,0.126600,1.520,2.92000,4.570000,0.000000,105.77,1013,0,,6681.00,1.75,1.45,[Fe/H],0.183,4.12,1.700,,8.93302,79.20915,4.5764800,552.5500000,1.7809900
2373,1,1,0,0,9.40604670,0.087800,1.330,2.33000,5.440000,0.000000,254.70,981,0,,5933.00,1.22,1.08,[Fe/H],0.326,4.30,5.010,,14.43882,81.73931,-6.6495400,1026.4800000,0.9454530
2374,1,1,0,0,7.84931739,0.072600,0.760,0.36300,4.540000,0.000000,359.79,925,0,,5817.00,0.99,0.96,[Fe/H],0.320,4.43,5.500,,16.44589,78.93826,3.0711000,924.1410000,1.0533500
2375,1,1,0,0,0.99166527,0.020500,1.090,1.32000,5.600000,0.000000,5228.78,2102,0,,6166.00,1.25,1.18,[Fe/H],0.329,4.32,2.750,,9.25568,73.99890,-8.8601400,1513.1400000,0.6331580
2376,1,2,0,0,10.13962300,0.082000,2.380,6.26000,2.550000,0.000000,33.46,447,1,M0 V,4625.00,0.66,0.63,[Fe/H],-0.754,4.65,2.510,,7.65134,75.22984,-13.3084000,373.7440000,2.6469700
2377,1,2,0,0,43.59579200,0.218000,3.410,11.50000,1.590000,0.000000,4.79,275,1,M0 V,4625.00,0.66,0.63,[Fe/H],-0.754,4.65,2.510,,7.65134,75.22984,-13.3084000,373.7440000,2.6469700
2378,1,1,0,0,7.61760804,0.077200,1.140,1.55000,5.750000,0.000000,171.48,1020,0,,6053.00,1.16,1.11,[Fe/H],0.063,4.35,3.390,,14.50514,79.83412,0.9510070,771.1520000,1.2680400
2379,1,1,0,0,8.18504949,0.079400,1.270,2.15000,5.770000,0.000000,439.43,892,0,,6082.00,1.16,1.10,[Fe/H],0.434,4.35,3.240,,9.82378,78.33732,1.7042200,1419.5800000,0.6763060
2380,1,1,0,0,3.05710069,0.040000,1.540,2.99000,4.500000,0.000000,1918.34,1202,0,,6213.00,1.28,1.18,[Fe/H],0.507,4.29,2.690,,8.64059,71.83822,-3.7627400,1639.4700000,0.5821080
2381,1,1,0,0,174.50983500,0.546000,3.170,10.20000,1.760000,0.000000,0.89,260,1,,4995.00,0.77,0.81,[Fe/H],-0.652,4.59,3.630,,7.29669,79.63594,2.4165700,638.2490000,1.5388600
2382,1,1,0,0,2.71603809,0.039600,1.060,1.20000,5.540000,0.000000,672.41,1360,0,,5946.00,1.08,1.06,[Fe/H],0.000,4.39,3.890,,13.14169,80.43622,-0.2427390,976.8680000,0.9952270
2383,1,1,0,0,4.56380468,0.051000,1.230,2.04000,6.020000,0.000000,185.57,980,0,,5203.00,0.80,0.84,[Fe/H],-0.363,4.56,4.680,,16.17228,73.43080,4.3783300,845.0220000,1.1551500
2384,1,1,0,0,66.37337900,0.323700,1.900,4.27000,3.420000,0.000000,33.38,471,0,,5706.00,0.92,0.95,[Fe/H],0.431,4.49,3.890,,18.57532,79.55824,2.6708800,2146.2300000,0.4357280
2385,1,1,0,0,2.94654179,0.042700,1.060,1.20000,5.540000,0.000000,1431.31,1497,0,,6377.00,1.39,1.25,[Fe/H],0.434,4.24,2.400,,14.31582,73.65455,-8.1890000,1221.0500000,0.7901570
2386,1,1,0,0,4.34195123,0.052700,0.950,0.80900,5.180000,0.000000,308.46,1236,0,,5940.00,1.09,1.07,[Fe/H],-0.039,4.39,3.800,,15.82723,77.83275,-8.9475100,619.8620000,1.5845300
2387,1,1,0,0,122.36355300,0.482300,1.620,3.26000,4.210000,0.000000,8.20,407,0,,5767.00,0.99,0.99,[Fe/H],0.241,4.45,4.270,,15.11555,71.79761,-7.6414200,1328.2000000,0.7241680
2388,2,1,0,1,228.77600000,0.704800,8.449,105.83300,0.964000,0.006900,,,1,,4450.00,0.65,0.69,[m/H],-0.903,4.65,3.800,,17.36600,82.78543,-48.6010000,75.0852000,13.2893000
2389,1,3,0,0,4.30939700,0.055110,1.715,3.59000,3.910000,0.000000,396.62,1134,0,,5471.00,1.12,0.97,[Fe/H],0.004,4.47,1.600,,14.73466,73.90270,-5.2119100,937.0130000,1.0385100
2390,1,3,0,0,13.69942900,0.119200,3.760,13.60000,1.410000,0.000000,84.85,771,1,,5471.00,1.12,0.97,[Fe/H],0.004,4.47,1.600,,14.73466,73.90270,-5.2119100,937.0130000,1.0385100
2391,1,3,0,0,30.00000000,0.170000,,100.00000,,,,,0,,5471.00,1.12,0.97,[Fe/H],0.004,4.47,1.600,,14.73466,73.90270,-5.2119100,937.0130000,1.0385100
2392,1,1,0,0,386.37054800,0.971200,3.130,9.96000,1.780000,0.000000,0.46,209,0,,5214.00,0.82,0.86,[Fe/H],-0.339,4.55,4.680,,10.52293,71.30223,3.9497800,1030.8100000,0.9424060
2393,1,1,0,0,2.20921951,0.033600,0.820,0.47700,4.750000,0.000000,999.75,1507,0,,5869.00,1.07,1.04,[Fe/H],0.085,4.40,4.270,,14.40649,68.65619,13.4578000,644.4560000,1.5228800
2394,1,1,0,0,11.17931605,0.107400,1.340,2.36000,5.390000,0.000000,124.51,1159,0,,6296.00,1.36,1.22,[Fe/H],0.201,4.25,2.510,,9.76833,73.56095,10.0071000,629.8040000,1.5589900
2395,1,1,0,0,2.27163926,0.035100,1.290,2.21000,5.660000,0.000000,1269.46,1522,0,,6241.00,1.31,1.21,[Fe/H],0.706,4.28,2.820,,9.59330,76.07194,-0.4370350,2712.5800000,0.3405360
2396,1,1,0,0,0.68368426,0.008900,1.410,2.57000,5.040000,0.000000,3567.57,2023,0,,4976.00,0.76,0.81,[Fe/H],-0.527,4.59,4.170,,16.90627,74.69980,-0.4816920,541.1890000,1.8191200
2397,1,1,0,0,85.75654950,0.391200,1.080,1.28000,5.580000,0.000000,16.73,528,0,,5280.00,0.82,0.86,[Fe/H],0.429,4.55,4.680,,16.93521,78.15062,-1.0291400,546.2300000,1.8020900
2398,1,1,0,0,196.43522400,0.642100,2.070,4.94000,3.060000,0.000000,1.29,324,0,,5422.00,0.86,0.90,[Fe/H],-0.171,4.53,4.270,,15.75379,73.68234,0.3726710,831.2870000,1.1745300
2399,1,1,0,0,13.64736760,0.107500,0.920,0.72100,5.090000,0.000000,449.63,913,0,,6116.00,1.21,1.14,[Fe/H],0.709,4.33,3.160,,9.17825,76.43909,3.9850400,1286.1000000,0.7494200
2400,1,1,0,0,16.47356860,0.112600,1.730,3.64000,3.860000,0.000000,33.22,612,0,,4992.00,0.72,0.75,[Fe/H],-0.537,4.61,5.130,,7.95133,73.38461,-1.2307300,832.0000000,1.0244363
2401,1,1,0,0,114.34219000,0.467900,2.220,5.56000,2.790000,0.000000,12.97,429,0,,6132.00,1.27,1.18,[Fe/H],0.484,4.29,3.020,,11.78036,71.67209,-3.1900300,1826.0400000,0.5191260
2402,1,2,0,0,4.92135500,0.054000,2.120,12.10000,6.980000,0.000000,123.40,868,0,,5078.00,0.81,0.86,[Fe/H],-0.447,4.55,4.680,,12.99462,74.95576,10.6700000,434.6320000,2.2719700
2403,1,2,0,0,7.06424000,0.068000,2.050,11.80000,7.530000,0.000000,76.20,769,1,,5078.00,0.81,0.86,[Fe/H],-0.447,4.55,4.680,,12.99462,74.95576,10.6700000,434.6320000,2.2719700
2404,1,1,0,0,8.70181574,0.077700,1.610,3.22000,4.240000,0.000000,56.21,750,0,,5383.00,0.87,0.91,[Fe/H],-0.483,4.52,4.680,,10.58296,78.84084,-0.4141270,864.3310000,1.1292000
2405,1,1,0,0,5.17624290,0.058600,0.810,0.45700,4.730000,0.000000,146.22,1243,0,,5605.00,0.93,0.94,[Fe/H],-0.113,4.49,5.010,,12.24637,82.93231,2.2048500,908.4440000,0.0367658
2406,1,1,0,0,3.91795101,0.048200,1.030,1.08000,5.430000,0.000000,269.25,1030,0,,5643.00,0.94,0.96,[Fe/H],-0.188,4.48,4.570,,13.61034,77.57698,-4.9264200,764.7260000,1.2791400
2407,1,1,0,0,1.51842990,0.026400,2.080,4.98000,3.040000,0.000000,6797.62,1926,0,,6005.00,1.12,1.08,[Fe/H],0.638,4.37,3.550,,13.56034,75.06765,-7.6001900,1508.3300000,0.6344240
2408,1,1,0,0,3.94661410,0.047100,1.490,2.83000,4.700000,0.000000,276.37,981,0,,5121.00,0.76,0.79,[Fe/H],-0.271,4.58,5.500,,19.14605,79.84006,0.5066980,1191.1900000,0.8110970
2409,1,1,0,0,47.31261920,0.278800,2.060,4.90000,3.080000,0.000000,31.17,658,0,,5865.00,1.05,1.04,[Fe/H],0.389,4.42,3.890,,15.43982,72.86678,-9.1117300,1393.8300000,0.6886440
2410,1,1,0,0,6.76284377,0.076100,1.020,1.04000,5.390000,0.000000,724.86,1337,0,,6266.00,1.34,1.21,[Fe/H],0.638,4.26,2.750,,16.49419,75.87728,2.3279400,1137.8100000,0.8500170
2411,1,1,0,0,27.47855720,0.181000,1.200,1.87000,5.950000,0.000000,64.69,736,0,,6167.00,1.22,1.15,[Fe/H],0.341,4.32,3.020,,16.02217,77.33520,-2.1273800,898.3100000,1.0844100
2412,1,1,0,0,6.10826019,0.070600,1.260,2.13000,5.850000,0.000000,903.91,1267,0,,6620.00,1.65,1.41,[Fe/H],0.690,4.15,1.780,,11.27915,79.07164,-7.4307000,1229.2500000,0.7849160
2413,1,1,0,0,23.62259130,0.161100,0.760,0.36300,4.540000,0.000000,74.64,797,0,,5852.00,1.00,1.00,[Fe/H],0.326,4.44,4.270,,16.71563,74.79049,38.4230000,734.8500000,1.3320000
2414,1,2,0,0,6.91979800,0.069000,1.260,2.13000,5.850000,0.000000,305.95,961,0,,5816.00,0.96,0.95,[Fe/H],0.155,4.44,3.020,,8.91719,77.82088,-9.1322400,855.6410000,1.1402300
2415,1,2,0,0,19.44635500,0.137000,3.030,9.43000,1.860000,0.000000,77.05,681,0,,5816.00,0.96,0.95,[Fe/H],0.155,4.44,3.020,,8.91719,77.82088,-9.1322400,855.6410000,1.1402300
2416,1,1,0,0,101.95182900,0.432200,1.610,3.22000,4.240000,0.000000,7.92,428,0,,6157.00,1.23,1.15,[Fe/H],0.293,4.31,3.020,,10.47638,80.66117,18.2110000,895.0690000,
2417,1,1,0,0,92.26371400,0.420400,2.160,5.31000,2.900000,0.000000,14.05,469,0,,6158.00,1.24,1.15,[Fe/H],0.478,4.31,2.690,,8.77976,78.03515,-8.7365500,1631.6600000,0.5849890
2418,1,1,0,0,10.81187370,0.099400,1.470,2.76000,4.770000,0.000000,236.00,922,0,,6436.00,1.50,1.31,[Fe/H],0.373,4.20,2.190,,10.86809,81.47197,-0.7665720,796.4770000,1.2267500
2419,1,1,0,0,4.36128348,0.051800,1.310,2.27000,5.550000,0.000000,243.08,1000,0,,5772.00,1.00,1.00,[Fe/H],-0.172,4.44,4.270,,9.02309,72.95966,-4.4177500,837.4810000,1.1656200
2420,1,1,0,0,3.29030452,0.032700,5.700,27.60000,0.819000,0.000000,6.01,540,1,,3636.00,0.47,0.50,[Fe/H],-1.323,4.78,4.470,,9.05558,70.45170,-30.2388000,258.9790000,3.8332300
2421,1,1,0,0,287.37894900,0.874800,6.060,30.60000,0.756000,0.000000,3.77,350,0,,5677.00,0.94,0.96,[Fe/H],0.437,4.48,4.370,,8.26713,73.74999,-4.7991000,2310.1100000,0.4064500
2422,1,1,0,0,4.13962966,0.053700,2.020,4.74000,3.160000,0.000000,1328.65,1352,0,,6826.00,1.85,1.51,[Fe/H],0.611,4.08,1.550,,7.95519,74.88682,-5.6647400,1368.8300000,0.7021190
2423,1,1,0,0,7.20283653,0.064300,3.690,13.20000,1.440000,0.000000,143.12,794,0,,5445.00,0.84,0.87,[Fe/H],-0.303,4.54,4.680,,16.77960,71.56460,-1.0711300,317.4370000,3.1222300
2424,1,1,0,0,76.37803300,0.295200,6.430,33.80000,0.699000,0.000000,0.79,240,0,,3724.00,0.52,0.55,[Fe/H],-1.330,4.74,5.130,,19.09880,72.70578,-12.6629000,352.0000000,
2425,1,1,0,0,3.87595807,0.048500,0.770,0.38100,4.590000,0.000000,315.46,1081,0,,5776.00,1.01,1.01,[Fe/H],-0.134,4.44,4.270,,20.19416,72.70897,3.3973100,336.0900000,2.9466800
2426,1,2,0,0,7.81093700,0.078000,1.050,1.16000,5.510000,0.000000,115.61,906,0,,5776.00,0.92,0.88,[M/H],-0.138,4.52,4.270,,11.87083,79.97327,-4.4386700,689.8140000,1.4210800
2427,1,2,0,0,21.34726200,0.152000,2.260,5.73000,2.730000,0.000000,30.24,648,0,,5776.00,0.92,0.88,[M/H],-0.138,4.52,4.270,,11.87083,79.97327,-4.4386700,689.8140000,1.4210800
2428,1,1,0,0,509.99740200,1.121800,2.190,5.43000,2.840000,0.000000,0.26,182,0,,4736.00,0.63,0.66,[Fe/H],-0.646,4.66,5.010,,8.76631,77.89166,25.8558000,331.2130000,2.9904300
2429,1,1,0,0,4.09513932,0.051100,1.350,2.39000,5.340000,0.000000,446.92,1122,0,,5679.00,0.95,0.97,[Fe/H],0.007,4.47,4.170,,10.63796,76.97308,-2.3424300,1305.9900000,0.7380120
2430,1,1,0,0,448.30355800,0.676200,2.470,6.66000,2.430000,0.000000,6.06,369,0,,6137.00,1.19,1.12,[Fe/H],0.406,4.33,3.090,,10.77493,77.02199,-15.6295000,716.7600000,1.3663400
2431,1,1,0,0,186.40427100,0.387500,1.580,3.12000,4.350000,0.000000,26.26,925,0,,6256.00,1.32,1.20,[Fe/H],0.646,4.27,2.820,,15.06382,76.07230,4.0453100,1114.9100000,0.8680800
2432,1,1,0,0,374.87623900,1.052500,3.190,10.30000,1.740000,0.000000,0.54,282,0,,5474.00,0.89,0.92,[Fe/H],-0.265,4.51,4.470,,11.62186,77.98371,9.7882300,617.3390000,1.5913000
2433,1,1,0,0,469.63111000,1.117000,3.640,12.90000,1.470000,0.000000,0.40,200,0,,5347.00,0.85,0.89,[Fe/H],-0.280,4.53,4.900,,17.36600,75.79691,-1.7010200,1069.4500000,0.9069220
2434,1,1,0,0,425.47785000,1.154600,3.230,10.50000,1.710000,0.000000,1.22,248,0,,5797.00,1.02,1.01,[Fe/H],0.237,4.43,3.980,,12.20049,79.17483,-2.5479200,1947.5400000,0.4849460
2435,1,1,0,0,6.10960324,0.059600,0.890,0.64000,4.990000,0.000000,337.78,1093,0,,5789.00,1.02,1.02,[Fe/H],0.023,4.43,4.170,,20.25106,77.61218,-17.6605000,567.1870000,
2436,1,1,0,0,259.33683000,0.745000,1.870,4.16000,3.500000,0.000000,2.76,304,1,,5710.00,0.95,0.97,[Fe/H],-0.114,4.47,4.370,,12.28820,81.52166,5.8586200,1525.5200000,0.6269330
2437,1,1,0,0,9.87848200,0.093200,2.580,7.18000,2.300000,0.000000,187.85,1003,0,,6150.00,1.18,1.12,[Fe/H],0.145,4.34,3.160,,19.93538,78.45346,7.7676600,1031.3100000,0.9408780
2438,1,3,0,0,5.03503000,0.058000,1.410,2.57000,5.040000,0.000000,370.92,1141,0,,5888.00,1.15,1.09,[Fe/H],0.113,4.33,0.620,,16.58456,78.45857,-12.3060000,890.7580000,1.0938700
2439,1,3,0,0,10.94572300,0.097000,2.730,7.90000,2.130000,0.000000,131.49,881,0,,5888.00,1.15,1.09,[Fe/H],0.113,4.33,0.620,,16.58456,78.45857,-12.3060000,890.7580000,1.0938700
2440,1,3,0,0,28.98676900,0.187000,2.450,6.57000,2.450000,0.000000,35.89,637,0,,5888.00,1.15,1.09,[Fe/H],0.113,4.33,0.620,,16.58456,78.45857,-12.3060000,890.7580000,1.0938700
2441,1,1,0,0,7.58441260,0.083600,4.820,20.70000,1.020000,0.000000,537.40,1228,0,,6324.00,1.43,1.27,[Fe/H],0.470,4.23,2.400,,9.30881,74.29026,0.8467520,1859.7800000,1.2294126
2442,1,2,0,0,19.67226600,0.147300,3.110,9.85000,1.800000,0.000000,82.83,908,0,,6152.00,1.19,1.12,[Fe/H],0.131,4.34,3.020,,8.46248,75.58833,-0.9410310,860.3700000,1.1339400
