loc_rowid,sy_snum,sy_pnum,sy_mnum,cb_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_metratio,st_lum,st_logg,st_age,st_rotp,glat,glon,sy_pmdec,sy_dist,sy_plx
551,1,1,0,0,2.19740000,0.037900,13.700,384.57430,0.822000,0.070000,,,0,F5,6380.00,1.65,1.51,[Fe/H],0.556,4.37,,,40.62573,102.97517,-31.6951000,46.7789000,21.3482000
552,1,1,0,0,1039.15000000,1.988000,13.100,1122.57556,2.740000,0.197000,,,0,G6 V,5507.00,0.92,0.97,[Fe/H],-0.092,4.47,2.942,42.00,6.27404,334.96858,-120.2220000,68.5146000,14.5670000
553,1,1,0,0,103.95000000,0.450000,12.800,1913.33660,5.010000,0.310000,,,0,G3 V,6014.00,1.05,1.20,[Fe/H],0.193,4.47,1.300,,17.53871,348.63857,13.0387000,53.4884000,18.6669000
554,1,1,0,0,176.30000000,0.760000,13.300,708.76090,1.660000,0.110000,,,0,K0,4769.00,10.52,1.23,[Fe/H],1.655,2.48,2.605,,46.03028,44.30174,36.8242000,135.2920000,7.3625100
555,1,2,0,0,25000.00000000,16.400000,12.800,1843.40476,4.830000,0.450000,,,0,K0V,5314.94,1.00,0.97,[Fe/H],-0.151,4.43,5.240,,46.94447,69.16849,-296.4640000,17.9323000,55.7363000
556,1,1,0,0,2730.00000000,4.600000,13.300,724.62000,1.690000,0.053000,,,0,K0,4823.75,5.38,1.75,[Fe/H],1.355,3.23,1.560,,41.01691,26.92843,-1.4688100,227.8810000,4.3600900
557,1,2,0,0,5.77152000,0.063400,2.420,6.44000,2.500000,0.172000,,,0,G0 V,5765.00,1.15,1.02,[Fe/H],0.095,4.38,7.120,,-69.41004,99.30680,-143.7680000,23.4534000,42.6090000
558,1,2,0,0,13.50520000,0.111700,2.230,5.59000,2.770000,0.305000,,,0,G0 V,5765.00,1.15,1.02,[Fe/H],0.097,4.38,7.120,,-69.41004,99.30680,-143.7680000,23.4534000,42.6090000
559,1,2,0,0,44.23600000,0.238800,13.400,674.00000,1.540000,0.468600,,,0,G9 V,5441.00,0.94,0.93,[Fe/H],-0.148,4.42,6.360,,-8.44094,325.41034,-316.2440000,40.4256000,24.7079000
560,1,2,0,0,1008.00000000,1.922000,12.700,2080.00000,5.580000,0.133000,,,0,G9 V,5441.00,0.94,0.93,[Fe/H],-0.148,4.42,6.360,,-8.44094,325.41034,-316.2440000,40.4256000,24.7079000
561,2,1,0,0,86.78000000,0.323000,5.820,28.55000,0.796000,0.070000,,,0,M1,4156.00,0.63,0.60,[Fe/H],-0.971,4.65,,28.80,39.47188,99.90191,84.1104000,10.7643000,92.8704000
562,2,1,0,0,528.40000000,1.320000,13.700,385.00000,0.823000,0.260000,,,0,G3/5V,5883.00,0.98,1.11,[Fe/H],-0.010,4.51,0.300,8.50,7.21242,341.62110,3.6657300,12.9032000,77.4716000
563,1,1,0,0,676.60000000,1.700000,13.700,356.28743,0.761000,0.155000,,,0,G5,4946.00,5.01,1.43,[M/H],1.115,3.23,,,-45.98861,156.37974,11.8122000,119.1370000,8.3652600
564,2,2,0,0,116.59600000,0.522000,12.800,1633.64620,4.280000,0.207000,,,0,G1 V,5972.00,2.29,1.38,[Fe/H],0.777,3.86,4.000,,10.84575,345.98514,-22.7969000,109.0550000,9.1421900
