num_star,2_stars,orbital_period,semi-major_axis,planet_radius,planet_mass,planet_eccen,planet_temp,star_temp,star_radius,star_mass,star_bright,star_age,latitude_gal,longitude_gal,distance,parallax,mass_ratio_sys,radius_ratio_sys,num_planet
3,0,2.77596,0.0413,14.448,1332.605,0.036,1626.0,6158.0,1.24,1.22,0.294,2.0,-20.34266,120.34675,226.637,4.38591,0.003279643391110122,0.1066037076808048,1
1,0,10.33852,0.0882,11.769,184.3414,0.35,792.0,5246.0,0.87,0.99,-0.289,7.8,-16.17689,80.8515,92.3831,10.796,0.0005590783860728958,0.12376748675092329,2
1,0,5.508023,0.0559,11.153,62.61,0.084,852.0,4803.0,0.75,0.77,-0.569,12.4,35.56176,55.652,161.4,6.16693,0.00024413946837476244,0.13605568735579363,1
1,0,4.008778,0.0466,12.689,92.802,0.067,1010.0,4990.0,0.82,0.84,-0.432,8.8,-28.07947,119.8176,202.078,4.91998,0.00033171343819579115,0.1415793150528513,1
1,0,5.6335158,0.06814,10.66,2765.121,0.5172,1540.0,6380.0,1.39,1.33,0.53,1.44,45.2323,65.02085,127.774,7.79749,0.006242341378332709,0.07016631460319868,1
1,0,2.875317,0.0361,9.718,2302.899,0.015,970.0,4595.0,0.69,0.76,-0.721,6.7,18.39436,194.41535,71.0374,14.0483,0.009098008009843613,0.1288587950330777,1
1,0,4.12448,0.0494,12.442,1547.8321,0.23,1283.0,5588.0,1.21,1.24,0.025,10.2,67.4636,169.32461,277.278,3.57807,0.0037478929682609194,0.094078652562857,1
2,0,3.21222,0.0414,12.89,785.0401,0.02,1463.0,5302.0,1.11,1.13,-0.114,12.4,53.56645,163.64677,81.7647,12.2014,0.0020859236763259878,0.10624688364154716,1
1,0,1.21288,0.0232,12.218,425.8922,0.11,1951.0,5905.0,0.96,0.58,0.199,4.0,-11.83428,58.93637,364.813,2.71289,0.0022047365843171933,0.11644347289638203,1
2,0,3.35524,0.04651,14.572,238.3725,0.07,1637.0,6373.0,1.38,1.37,0.408,2.8,11.65314,202.73799,415.344,2.37947,0.0005224209686120377,0.09661094675972466,1
